name,category,deficiency_symptoms,rda_male,rda_female,optimal_range,food_sources,absorption_factors,drug_interactions,bioavailability,supplementation_notes
Vitamin B2 (Riboflavin),Vitamin,"fatigue,mouth sores,cracked lips,eye problems,skin issues,anemia,cognitive impairment",1.3 mg,1.1 mg,1.0-1.8 mg/day,"almonds 100g=0.8mg,mushrooms 100g=0.5mg,spinach 100g=0.4mg,salmon 100g=0.2mg,eggs 2 large=0.5mg",oxygen dependent,Methotrexate impairs activation,60% from food,Take with food; activated form is preferred
Vitamin B6 (Pyridoxine),Vitamin,"weak immunity,skin rashes,mouth sores,anemia,confusion,depression,seizures,neuropathy",1.3-1.7 mg,1.3-1.5 mg,1.0-2.0 mg/day,"chickpeas 100g=1.2mg,salmon 100g=0.9mg,potatoes 100g=0.3mg,beef 100g=0.5mg,bananas 1 medium=0.4mg",heat sensitive,Isoniazid increases requirement,75% inorganic + 90% pyridoxal,Take with meals; B-complex support
Pantothenic Acid (B5),Vitamin,"fatigue,depression,hair loss,numbness,muscle weakness,burning feet",5 mg,5 mg,5-10 mg/day,"mushrooms 100g=2.1mg,avocado 1 whole=2.8mg,eggs 2 large=1.8mg,salmon 100g=1.2mg,chicken 100g=0.7mg",broadly available,Few interactions; well tolerated,40-60% absorption,Found in all foods; deficiency rare
Biotin (B7),Vitamin,"hair loss,skin rashes,brittle nails,conjunctivitis,depression,ataxia",30 mcg,30 mcg,30-100 mcg/day,"egg yolks 2 large=20mcg,salmon 100g=5mcg,almonds 100g=6.4mcg,sweet potatoes 100g=0.1mcg",optimal pH 6.0,Few interactions; well tolerated,50-60% bioavailability,Hair/skin supplement; hair growth studies
Vitamin K,Vitamin,"excessive bleeding,easy bruising,poor bone healing,osteoporosis,cardiovascular issues",120 mcg males,90 mcg female,90-120 mcg/day,"spinach 100g=145mcg,broccoli 100g=102mcg,Brussels sprouts 100g=163mcg,cabbage 100g=145mcg,kale 100g=704mcg",fat-soluble; bacterial,Anticoagulants (warfarin) compete,70-80% absorption,Split K1 and K2; MK4 vs MK7 differences
Calcium,Mineral,"muscle cramps,spasms,tingling,tetany,osteoporosis,hypertension,irregular heartbeat",1000-1200 mg,1000-1200 mg,1000-1200 mg/day,"dairy 1 cup=300mg,leafy greens 100g=100-200mg,sardines 100g=380mg,almonds 100g=264mg,fortified products vary",vitamin D essential,PPIs reduce absorption,20-30% from food,Citrate form better; split doses
Phosphorus,Mineral,"weakness,bone pain,loss of appetite,confusion,seizures,respiratory failure",700 mg,700 mg,700 mg/day,"chicken 100g=180mg,salmon 100g=250mg,eggs 2 large=186mg,nuts 100g=400mg,seeds 100g=600mg",vitamin D enhances,Few issues in food context,85-90% absorption,Often excessive in Western diet
Potassium,Mineral,"weakness,muscle cramps,irregular heartbeat,fatigue,numbness,constipation",3400 mg,2600 mg,2600-3400 mg/day,"potatoes 100g=363mg,bananas 1 medium=358mg,spinach 100g=558mg,sweet potato 100g=337mg,avocado 1 whole=485mg",acid-base balance,,90-95% absorption,Risk of hyperkalemia with supplements; food preferred
Sodium,Mineral,"muscle cramps,weakness,hyponatremia,nausea,confusion,seizures",1500 mg,1500 mg,1200-1500 mg/day,"table salt 1 tsp=2300mg,soy sauce 1 tbsp=1000mg,canned goods vary,processed foods high",osmotic balance,,Nearly 100% absorption,Excessive intake worsens hypertension; usually excess
Chloride,Mineral,"loss of appetite,weakness,muscle cramps,dehydration,metabolic alkalosis",2300 mg,2300 mg,2300 mg/day,"table salt 1 tsp=3500mg,seaweed varies,processed foods,dairy products",acid-base balance,,Nearly 100% absorption,Linked to sodium; rarely deficient
